Album,Song
1989 (Taylor's Version),- Welcome To New York (Taylor's Version)
1989 (Taylor's Version),- Blank Space (Taylor's Version)
1989 (Taylor's Version),- Style (Taylor's Version)
1989 (Taylor's Version),- Out Of The Woods (Taylor's Version)
1989 (Taylor's Version),- All You Had To Do Was Stay (Taylor's Version)
1989 (Taylor's Version),- Shake It Off (Taylor's Version)
1989 (Taylor's Version),- I Wish You Would (Taylor's Version)
1989 (Taylor's Version),- Bad Blood (Taylor's Version)
1989 (Taylor's Version),- Wildest Dreams (Taylor's Version)
1989 (Taylor's Version),- How You Get The Girl (Taylor's Version)
1989 (Taylor's Version),- This Love (Taylor's Version)
1989 (Taylor's Version),- I Know Places (Taylor's Version)
1989 (Taylor's Version),- Clean (Taylor's Version)
1989 (Taylor's Version),- Wonderland (Taylor's Version)
1989 (Taylor's Version),- You Are In Love (Taylor's Version)
1989 (Taylor's Version),- New Romantics (Taylor's Version)
1989 (Taylor's Version),- Slut! (Taylor's Version) (From The Vault)
1989 (Taylor's Version),- Say Don't Go (Taylor's Version) (From The Vault)
1989 (Taylor's Version),- Now That We Don't Talk (Taylor's Version) (From The Vault)
1989 (Taylor's Version),- Suburban Legends (Taylor's Version) (From The Vault)
1989 (Taylor's Version),- Is It Over Now (Taylor's Version) (From The Vault)
1989 (Taylor's Version),- Bad Blood (Remix) (Taylor's Version)
1989 (Taylor's Version),- Sweeter Than Fiction (Taylor's Version)
1989 (Taylor's Version),- Slut! (Acoustic Version) (Taylor's Version)
evermore,- willow
evermore,- champagne problems
evermore,- gold rush
evermore,- 'tis the damn season
evermore,- tolerate it
evermore,"- no body, no crime"
evermore,- happiness
evermore,- dorothea
evermore,- coney island
evermore,- ivy
evermore,- cowboy like me
evermore,- long story short
evermore,- marjorie
evermore,- closure
evermore,- evermore
evermore,- right where you left me
evermore,- it's time to go
Fearless (Taylor's Version),- Fearless (Taylor's Version)
Fearless (Taylor's Version),- Fifteen (Taylor's Version)
Fearless (Taylor's Version),- Love Story (Taylor's Version)
Fearless (Taylor's Version),- Hey Stephen (Taylor's Version)
Fearless (Taylor's Version),- White Horse (Taylor's Version)
Fearless (Taylor's Version),- You Belong With Me (Taylor's Version)
Fearless (Taylor's Version),- Breathe (Taylor's Version)
Fearless (Taylor's Version),- Tell Me Why (Taylor's Version)
Fearless (Taylor's Version),- You're Not Sorry (Taylor's Version)
Fearless (Taylor's Version),- The Way I Loved You (Taylor's Version)
Fearless (Taylor's Version),- Forever & Always (Taylor's Version)
Fearless (Taylor's Version),- The Best Day (Taylor's Version)
Fearless (Taylor's Version),- Change (Taylor's Version)
Fearless (Taylor's Version),- Jump Then Fall (Taylor's Version)
Fearless (Taylor's Version),- Untouchable (Taylor's Version)
Fearless (Taylor's Version),- Forever & Always (Piano Version) (Taylor's Version)
Fearless (Taylor's Version),- Come In With The Rain (Taylor's Version)
Fearless (Taylor's Version),- Superstar (Taylor's Version)
Fearless (Taylor's Version),- The Other Side Of The Door (Taylor's Version)
Fearless (Taylor's Version),- Today Was A Fairytale (Taylor's Version)
Fearless (Taylor's Version),- You All Over Me (Taylor's Version) (From The Vault)
Fearless (Taylor's Version),- Mr. Perfectly Fine (Taylor's Version) (From The Vault)
Fearless (Taylor's Version),- We Were Happy (Taylor's Version) (From The Vault)
Fearless (Taylor's Version),- That's When (Taylor's Version) (From The Vault)
Fearless (Taylor's Version),- Don't You (Taylor's Version) (From The Vault)
Fearless (Taylor's Version),- Bye Bye Baby (Taylor's Version) (From The Vault)
folklore,- the 1
folklore,- cardigan
folklore,- the last great american dynasty
folklore,- exile
folklore,- my tears ricochet
folklore,- mirrorball
folklore,- seven
folklore,- august
folklore,- this is me trying
folklore,- illicit affairs
folklore,- invisible string
folklore,- mad woman
folklore,- epiphany
folklore,- betty
folklore,- peace
folklore,- hoax
folklore,- the lakes
Lover,- I Forgot That You Existed
Lover,- Cruel Summer
Lover,- Lover
Lover,- The Man
Lover,- The Archer
Lover,- I Think He Knows
Lover,- Miss Americana & The Heartbreak Prince
Lover,- Paper Rings
Lover,- Cornelia Street
Lover,- Death By A Thousand Cuts
Lover,- London Boy
Lover,- Soon You'll Get Better
Lover,- False God
Lover,- You Need To Calm Down
Lover,- Afterglow
Lover,- ME!
Lover,- It's Nice To Have A Friend
Lover,- Daylight
Midnights,- Lavender Haze
Midnights,- Maroon
Midnights,- Anti-Hero
Midnights,- Snow On The Beach
Midnights,"- You're On Your Own, Kid"
Midnights,- Midnight Rain
Midnights,- Question
Midnights,- Vigilante Shit
Midnights,- Bejeweled
Midnights,- Labyrinth
Midnights,- Karma
Midnights,- Sweet Nothing
Midnights,- Mastermind
Midnights,- Hits Different
Midnights,"- You're On Your Own, Kid (Strings Remix)"
Midnights,- Sweet Nothing (Piano Remix)
Midnights,- The Great War
Midnights,- Bigger Than The Whole Sky
Midnights,- Paris
Midnights,- High Infidelity
Midnights,- Glitch
Midnights,"- Would've, Could've, Should've"
Midnights,- Dear Reader
Midnights,- Snow On The Beach (Remix)
Midnights,- Karma (Remix)
Midnights,- You're Losing Me (From The Vault)
other songs,- All Of The Girls You Loved Before
other songs,- Beautiful Eyes
other songs,- Beautiful Ghosts
other songs,- Carolina
other songs,- Christmas Tree Farm
other songs,- Crazier
other songs,- Eyes Open
other songs,- I Heart
other songs,-I don't wanna live forever
other songs,- Only The Young
other songs,- Safe & Sound (Taylor's Version)
Red (Taylor's Version),- State Of Grace (Taylor's Version)
Red (Taylor's Version),- Red (Taylor's Version)
Red (Taylor's Version),- Treacherous (Taylor's Version)
Red (Taylor's Version),- I Knew You Were Trouble (Taylor's Version)
Red (Taylor's Version),- All Too Well (Taylor's Version)
Red (Taylor's Version),- 22 (Taylor's Version)
Red (Taylor's Version),- I Almost Do (Taylor's Version)
Red (Taylor's Version),- We Are Never Ever Getting Back Together (Taylor's Version)
Red (Taylor's Version),- Stay Stay Stay (Taylor's Version)
Red (Taylor's Version),- The Last Time (Taylor's Version)
Red (Taylor's Version),- Holy Ground (Taylor's Version)
Red (Taylor's Version),- Sad Beautiful Tragic (Taylor's Version)
Red (Taylor's Version),- The Lucky One (Taylor's Version)
Red (Taylor's Version),- Everything Has Changed (Taylor's Version)
Red (Taylor's Version),- Starlight (Taylor's Version)
Red (Taylor's Version),- Begin Again (Taylor's Version)
Red (Taylor's Version),- The Moment I Knew (Taylor's Version)
Red (Taylor's Version),- Come Back...Be Here (Taylor's Version)
Red (Taylor's Version),- Girl At Home (Taylor's Version)
Red (Taylor's Version),- State Of Grace (Acoustic Version) (Taylor's Version)
Red (Taylor's Version),- Ronan (Taylor's Version)
Red (Taylor's Version),- Better Man (Taylor's Version) (From The Vault)
Red (Taylor's Version),- Nothing New (Taylor's Version) (From The Vault)
Red (Taylor's Version),- Babe (Taylor's Version) (From The Vault)
Red (Taylor's Version),- Message In A Bottle (Taylor's Version) (From The Vault)
Red (Taylor's Version),- I Bet You Think About Me (Taylor's Version) (From The Vault)
Red (Taylor's Version),- Forever Winter (Taylor's Version) (From The Vault)
Red (Taylor's Version),- Run (Taylor's Version) (From The Vault)
Red (Taylor's Version),- The Very First Night (Taylor's Version) (From The Vault)
Red (Taylor's Version),- All Too Well (10 Minute Version) (Taylor's Version) (From The Vault)
Reputation,- ...Ready For It
Reputation,- End Game
Reputation,- I Did Something Bad
Reputation,- Don't Blame Me
Reputation,- Delicate
Reputation,- Look What You Made Me Do
Reputation,- So It Goes
Reputation,- Gorgeous
Reputation,- Getaway Car
Reputation,- King Of My Heart
Reputation,- Dancing With Our Hands Tied
Reputation,- Dress
Reputation,- This Is Why We Can't Have Nice Things
Reputation,- Call It What You Want
Reputation,- New Year's Day
Sounds Of The Season The Taylor Swift Holiday Collection,- Last Christmas
Sounds Of The Season The Taylor Swift Holiday Collection,- Christmases When You Were Mine
Sounds Of The Season The Taylor Swift Holiday Collection,- Santa Baby
Sounds Of The Season The Taylor Swift Holiday Collection,- Silent Night
Sounds Of The Season The Taylor Swift Holiday Collection,- Christmas Must Be Something More
Sounds Of The Season The Taylor Swift Holiday Collection,- White Christmas
Speak Now (Taylor's Version),- Mine (Taylor's Version)
Speak Now (Taylor's Version),- Sparks Fly (Taylor's Version)
Speak Now (Taylor's Version),- Back To December (Taylor's Version)
Speak Now (Taylor's Version),- Speak Now (Taylor's Version)
Speak Now (Taylor's Version),- Dear John (Taylor's Version)
Speak Now (Taylor's Version),- Mean (Taylor's Version)
Speak Now (Taylor's Version),- The Story Of Us (Taylor's Version)
Speak Now (Taylor's Version),- Never Grow Up (Taylor's Version)
Speak Now (Taylor's Version),- Enchanted (Taylor's Version)
Speak Now (Taylor's Version),- Better Than Revenge (Taylor's Version)
Speak Now (Taylor's Version),- Innocent (Taylor's Version)
Speak Now (Taylor's Version),- Haunted (Taylor's Version)
Speak Now (Taylor's Version),- Last Kiss (Taylor's Version)
Speak Now (Taylor's Version),- Long Live (Taylor's Version)
Speak Now (Taylor's Version),- Ours (Taylor's Version)
Speak Now (Taylor's Version),- Superman (Taylor's Version)
Speak Now (Taylor's Version),- Electric Touch (Taylor's Version) (From The Vault)
Speak Now (Taylor's Version),- When Emma Falls in Love (Taylor's Version) (From The Vault)
Speak Now (Taylor's Version),- I Can See You (Taylor's Version) (From The Vault)
Speak Now (Taylor's Version),- Castles Crumbling (Taylor's Version) (From The Vault)
Speak Now (Taylor's Version),- Foolish One (Taylor's Version) (From The Vault)
Speak Now (Taylor's Version),- Timeless (Taylor's Version) (From The Vault)
Taylor Swift,- Tim McGraw
Taylor Swift,- Picture To Burn
Taylor Swift,- Teardrops On My Guitar
Taylor Swift,- A Place In This World
Taylor Swift,- Cold As You
Taylor Swift,- The Outside
Taylor Swift,- Tied Together With A Smile
Taylor Swift,- Stay Beautiful
Taylor Swift,- Should've Said No
Taylor Swift,- Mary's Song (Oh My My My)
Taylor Swift,- Our Song
Taylor Swift,- I'm Only Me When I'm With You
Taylor Swift,- Invisible
Taylor Swift,- A Perfectly Good Heart
THE TORTURED POETS DEPARTMENT,- Fortnight
THE TORTURED POETS DEPARTMENT,- The Tortured Poets Department
THE TORTURED POETS DEPARTMENT,- My Boy Only Breaks His Favorite Toys
THE TORTURED POETS DEPARTMENT,- Down Bad
THE TORTURED POETS DEPARTMENT,"- So Long, London"
THE TORTURED POETS DEPARTMENT,- But Daddy I Love Him
THE TORTURED POETS DEPARTMENT,- Fresh Out The Slammer
THE TORTURED POETS DEPARTMENT,- Florida!!!
THE TORTURED POETS DEPARTMENT,- Guilty As Sin
THE TORTURED POETS DEPARTMENT,- Who's Afraid Of Little Old Me
THE TORTURED POETS DEPARTMENT,- I Can Fix Him (No Really I Can)
THE TORTURED POETS DEPARTMENT,- âloml
THE TORTURED POETS DEPARTMENT,- I Can Do It With A Broken Heart
THE TORTURED POETS DEPARTMENT,- The Smallest Man Who Ever Lived
THE TORTURED POETS DEPARTMENT,- The Alchemy
THE TORTURED POETS DEPARTMENT,- Clara Bow
THE TORTURED POETS DEPARTMENT,- The Black Dog
THE TORTURED POETS DEPARTMENT,- imgonnagetyouback
THE TORTURED POETS DEPARTMENT,- The Albatross
THE TORTURED POETS DEPARTMENT,- Chloe or Sam or Sophia or Marcus
THE TORTURED POETS DEPARTMENT,- How Did It End
THE TORTURED POETS DEPARTMENT,- So High School
THE TORTURED POETS DEPARTMENT,- I Hate It Here
THE TORTURED POETS DEPARTMENT,- thanK you aIMee
THE TORTURED POETS DEPARTMENT,- I Look in People's Windows
THE TORTURED POETS DEPARTMENT,- The Prophecy
THE TORTURED POETS DEPARTMENT,- Cassandra
THE TORTURED POETS DEPARTMENT,- Peter
THE TORTURED POETS DEPARTMENT,- The Bolter
THE TORTURED POETS DEPARTMENT,- Robin
THE TORTURED POETS DEPARTMENT,- The Manuscript
